scenario,topic,target_span,entity_type,role
english_romanticism,a character walking alone at dusk,brow,LANDSCAPE,Object of Preposition
english_romanticism,a character walking alone at dusk,embers,WEATHER,Active Subject
english_romanticism,a character walking alone at dusk,day,WEATHER,Object of Preposition
english_romanticism,a character walking alone at dusk,hills,LANDSCAPE,Object of Preposition
english_romanticism,a character walking alone at dusk,valley,LANDSCAPE,Object of Preposition
english_romanticism,a character walking alone at dusk,evening,WEATHER,Possession modifier
english_romanticism,a character walking alone at dusk,sky,WEATHER,Active Subject
english_romanticism,a character walking alone at dusk,canopy,WEATHER,Adverbial clause modifier
english_romanticism,a character walking alone at dusk,pines,FLORA,Object of Preposition
english_romanticism,a character walking alone at dusk,earth,LANDSCAPE,Object of Preposition
english_romanticism,a character walking alone at dusk,dew,WEATHER,Noun phrase as adverbial modifier
english_romanticism,a character walking alone at dusk,moss,FLORA,Object of Preposition
english_romanticism,a character walking alone at dusk,breath,WEATHER,Active Subject
english_romanticism,a character walking alone at dusk,night,WEATHER,Compound
english_romanticism,a character walking alone at dusk,wind,WEATHER,Object of Preposition
english_romanticism,a character walking alone at dusk,ferns,FLORA,Direct Object
english_romanticism,a character walking alone at dusk,stream,LANDSCAPE,Object of Preposition
english_romanticism,an unexpected encounter between two strangers,mists,WEATHER,Object of Preposition
english_romanticism,an unexpected encounter between two strangers,crag,LANDSCAPE,Direct Object
english_romanticism,an unexpected encounter between two strangers,sea,LANDSCAPE,Object of Preposition
english_romanticism,an unexpected encounter between two strangers,sky,WEATHER,Direct Object
english_romanticism,an unexpected encounter between two strangers,pines,FLORA,Conjoined Element
english_romanticism,an unexpected encounter between two strangers,mountain,LANDSCAPE,Compound
english_romanticism,an unexpected encounter between two strangers,evening,WEATHER,Compound
english_romanticism,an unexpected encounter between two strangers,air,WEATHER,Object of Preposition
english_romanticism,an unexpected encounter between two strangers,moon,WEATHER,Object of Preposition
english_romanticism,an unexpected encounter between two strangers,night,WEATHER,Object of Preposition
english_romanticism,an unexpected encounter between two strangers,shore,LANDSCAPE,Object of Preposition
english_romanticism,a difficult decision at a turning point,winds,WEATHER,Active Subject
english_romanticism,a difficult decision at a turning point,shadows,WEATHER,Conjoined Element
english_romanticism,a difficult decision at a turning point,plain,LANDSCAPE,Object of Preposition
