sentence_id,sentence_text,target_span,entity_type,source,dep,dep_gloss,governing_verb
s00154,"the Spirits Whose presence I command, and be the slave Of those who served me--Never! _",Spirits,NATURE,gold,ROOT,Root of the sentence,spirit
s00432,"I replied, however, that we were on a voyage of discovery towards the northern pole.",pole,LANDSCAPE,gold,pobj,Object of Preposition,towards
s00185,I remembered the effect that the view of the tremendous and ever-moving glacier had produced upon my mind when I first saw it.,glacier,LANDSCAPE,gold,pobj,Object of Preposition,of
s00101,I am all feebleness--the mountains whirl Spinning around me----I grow blind----What art thou?,mountains,LANDSCAPE,gold,nsubj,Active Subject (doing the action),whirl
s00382,"I have often attributed my attachment to, my passionate enthusiasm for, the dangerous mysteries of ocean to that production of the most imaginative of modern poets.",ocean,LANDSCAPE,gold,pobj,Object of Preposition,of
s00766,"All stood together on the deck, For a charnel-dungeon fitter: All fixed on me their stony eyes, That in the Moon did glitter.",Moon,WEATHER,gold,pobj,Object of Preposition,in
s00761,"The air is cut away before, And closes from behind.",air,WEATHER,gold,nsubjpass,Passive Subject (action done to it),cut
s00728,"The loud wind never reached the ship, Yet now the ship moved on!",wind,WEATHER,gold,nsubj,Active Subject (doing the action),reach
s00258,"I have wandered here many days; the caves of ice, which I only do not fear, are a dwelling to me, and the only one which man does not grudge.",caves,LANDSCAPE,gold,nsubj,Active Subject (doing the action),be
s00258,"I have wandered here many days; the caves of ice, which I only do not fear, are a dwelling to me, and the only one which man does not grudge.",ice,WEATHER,gold,pobj,Object of Preposition,of
s00090,"The mists begin to rise from up the valley; I'll warn him to descend, or he may chance To lose at once his way and life together.",valley,LANDSCAPE,gold,pobj,Object of Preposition,up
s00090,"The mists begin to rise from up the valley; I'll warn him to descend, or he may chance To lose at once his way and life together.",mists,WEATHER,gold,nsubj,Active Subject (doing the action),begin
s00300,I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight.,frost,WEATHER,gold,pobj,Object of Preposition,of
s00300,I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight.,pole,LANDSCAPE,gold,nsubj,Active Subject (doing the action),be
s00376,"The winter has been dreadfully severe, but the spring promises well, and it is considered as a remarkably early season, so that perhaps I may sail sooner than I expected.",spring,WEATHER,gold,nsubj,Active Subject (doing the action),promise
s00376,"The winter has been dreadfully severe, but the spring promises well, and it is considered as a remarkably early season, so that perhaps I may sail sooner than I expected.",winter,WEATHER,gold,nsubj,Active Subject (doing the action),be
s00867,"The birds around me hopp’d and play’d: Their thoughts I cannot measure, But the least motion which they made, It seem’d a thrill of pleasure.",birds,FAUNA,gold,nsubj,Active Subject (doing the action),hopp’d
s00301,"There, Margaret, the sun is for ever visible, its broad disk just skirting the horizon and diffusing a perpetual splendour.",sun,WEATHER,gold,nsubj,Active Subject (doing the action),be
s00142,Daughter of Air!,Daughter of Air,NATURE,gold,ROOT,Root of the sentence,Daughter
s00505,"You seek for knowledge and wisdom, as I once did; and I ardently hope that the gratification of your wishes may not be a serpent to sting you, as mine has been.",serpent,FAUNA,gold,attr,Attribute (X is a Y),be
s00620,"With sloping masts and dipping prow, As who pursued with yell and blow Still treads the shadow of his foe And forward bends his head, The ship drove fast, loud roared the blast, And southward aye we fled.",blast,WEATHER,gold,nsubj,Active Subject (doing the action),roar
s00465,"I said in one of my letters, my dear Margaret, that I should find no friend on the wide ocean; yet I have found a man who, before his spirit had been broken by misery, I should have been happy to have possessed as the brother of my heart.",ocean,LANDSCAPE,gold,pobj,Object of Preposition,on
