text,pred_label,true_label,sentence_id,full_text,fold,category,pred_text,true_text
woods,LANDSCAPE,FLORA,s00863,"Nor wilt thou then forget, That after many wanderings, many years Of absence, these steep woods and lofty cliffs, And this green pastoral landscape, were to me More dear, both for themselves, and for thy sake.",0,label_confusion,,
wood,FLORA,LANDSCAPE,s00032,"All things are here of HIM; from the black pines, Which are his shade on high, and the loud roar Of torrents, where he listeneth, to the vines Which slope his green path downward to the shore, Where the bowed waters meet him, and adore, Kissing his feet with murmurs; and the wood, The covert of old trees, with trunks all hoar, But light leaves, young as joy, stands where it stood, Offering to him, and his, a populous solitude.",0,label_confusion,,
,LANDSCAPE,LANDSCAPE,s00087,Which I outlive!--Ye toppling crags of ice!,0,boundary_error,crags of,crags
,LANDSCAPE,WEATHER,s00710,"Her beams bemocked the sultry main, Like April hoar-frost spread; But where the ship's huge shadow lay, The charmed water burnt alway A still and awful red.",0,boundary_error,-,hoar-frost
,WEATHER,WEATHER,s00710,"Her beams bemocked the sultry main, Like April hoar-frost spread; But where the ship's huge shadow lay, The charmed water burnt alway A still and awful red.",0,boundary_error,frost,hoar-frost
,LANDSCAPE,LANDSCAPE,s00548,"Thou who didst waken from his summer dreams The blue Mediterranean, where he lay, Lulled by the coil of his crystalline streams, Beside a pumice isle in Baiae’s bay, And saw in sleep old palaces and towers Quivering within the wave’s intenser day, All overgrown with azure moss and flowers So sweet, the sense faints picturing them!",0,boundary_error,bay,Baiae’s bay
,WEATHER,WEATHER,s00579,"For after the rain when with never a stain The pavilion of Heaven is bare, And the winds and sunbeams with their convex gleams Build up the blue dome of air, I silently laugh at my own cenotaph, And out of the caverns of rain, Like a child from the womb, like a ghost from the tomb, I arise and unbuild it again.",0,boundary_error,dome,dome of air
,LANDSCAPE,WEATHER,s00579,"For after the rain when with never a stain The pavilion of Heaven is bare, And the winds and sunbeams with their convex gleams Build up the blue dome of air, I silently laugh at my own cenotaph, And out of the caverns of rain, Like a child from the womb, like a ghost from the tomb, I arise and unbuild it again.",0,boundary_error,of,dome of air
,WEATHER,WEATHER,s00579,"For after the rain when with never a stain The pavilion of Heaven is bare, And the winds and sunbeams with their convex gleams Build up the blue dome of air, I silently laugh at my own cenotaph, And out of the caverns of rain, Like a child from the womb, like a ghost from the tomb, I arise and unbuild it again.",0,boundary_error,air,dome of air
buckets,LANDSCAPE,,s00719,"The silly buckets on the deck, That had so long remained, I dreamt that they were filled with dew; And when I awoke, it rained.",0,spurious,,
hulk,LANDSCAPE,,s00681,"The naked hulk alongside came, And the twain were casting dice; ""The game is done!",0,spurious,,
twain,LANDSCAPE,,s00681,"The naked hulk alongside came, And the twain were casting dice; ""The game is done!",0,spurious,,
light,WEATHER,,s00783,"And the bay was white with silent light, Till rising from the same, Full many shapes, that shadows were, In crimson colours came.",0,spurious,,
shadows,WEATHER,,s00783,"And the bay was white with silent light, Till rising from the same, Full many shapes, that shadows were, In crimson colours came.",0,spurious,,
ice,LANDSCAPE,,s00450,"“Then I fancy we have seen him, for the day before we picked you up we saw some dogs drawing a sledge, with a man in it, across the ice.”",0,spurious,,
Heaven,WEATHER,,s00670,"And straight the Sun was flecked with bars, (Heaven's Mother send us grace!)",0,spurious,,
stream,LANDSCAPE,,s00536,"Yet not a city, but a flood of ruin Is there, that from the boundaries of the sky Rolls its perpetual stream; vast pines are strewing Its destined path, or in the mangled soil Branchless and shattered stand; the rocks, drawn down From yon remotest waste, have overthrown The limits of the dead and living world, Never to be reclaimed.",0,spurious,,
cape,LANDSCAPE,,s00576,"From cape to cape, with a bridge-like shape, Over a torrent sea, Sunbeam-proof, I hand like a roof,— The mountains its columns be.",0,spurious,,
bridge,LANDSCAPE,,s00576,"From cape to cape, with a bridge-like shape, Over a torrent sea, Sunbeam-proof, I hand like a roof,— The mountains its columns be.",0,spurious,,
