sentence_id,author,work,sentence_text,n_candidates,candidate_words,candidate_entity_types,band
s00001,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Clear, placid Leman!",0,,,band_0
s00002,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"thy contrasted lake, With the wild world I dwelt in, is a thing Which warns me, with its stillness, to forsake Earth's troubled waters for a purer spring.",4,lake; spring; stillness; water,LANDSCAPE; WEATHER,band_3plus
s00003,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"This quiet sail is as a noiseless wing To waft me from distraction; once I loved Torn ocean's roar, but thy soft murmuring Sounds sweet as if a sister's voice reproved, That I with stern delights should e'er have been so moved.",1,ocean,LANDSCAPE,band_1
s00004,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"It is the hush of night, and all between Thy margin and the mountains, dusk, yet clear, Mellowed and mingling, yet distinctly seen.",1,mountain,LANDSCAPE,band_1
s00005,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Save darkened Jura, whose capt heights appear Precipitously steep; and drawing near, There breathes a living fragrance from the shore, Of flowers yet fresh with childhood; on the ear Drops the light drip of the suspended oar, Or chirps the grasshopper one good-night carol more; He is an evening reveller, who makes His life an infancy, and sings his fill; At intervals, some bird from out the brakes Starts into voice a moment, then is still.",4,bird; brake; flower; shore,FAUNA; FLORA; LANDSCAPE,band_3plus
s00006,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"There seems a floating whisper on the hill, But that is fancy, for the starlight dews All silently their tears of love instil, Weeping themselves away, till they infuse Deep into Nature's breast the spirit of her hues.",3,deep; dew; hill,LANDSCAPE; WEATHER,band_3plus
s00007,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"which are the poetry of heaven, If in your bright leaves we would read the fate Of men and empires,--'tis to be forgiven, That in our aspirations to be great, Our destinies o'erleap their mortal state, And claim a kindred with you; for ye are A beauty and a mystery, and create In us such love and reverence from afar, That fortune, fame, power, life, have named themselves a star.",1,star,WEATHER,band_1
s00008,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"All heaven and earth are still--though not in sleep, But breathless, as we grow when feeling most; And silent, as we stand in thoughts too deep: -- All heaven and earth are still: from the high host Of stars, to the lulled lake and mountain-coast, All is concentered in a life intense, Where not a beam, nor air, nor leaf is lost, But hath a part of being, and a sense Of that which is of all Creator and defence.",5,air; coast; lake; mountain; star,LANDSCAPE; WEATHER,band_3plus
s00009,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Then stirs the feeling infinite, so felt In solitude, where we are LEAST alone; A truth, which through our being then doth melt, And purifies from self: it is a tone, The soul and source of music, which makes known Eternal harmony, and sheds a charm, Like to the fabled Cytherea's zone, Binding all things with beauty;--'twould disarm The spectre Death, had he substantial power to harm.",0,,,band_0
s00010,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Nor vainly did the early Persian make His altar the high places and the peak Of earth-o'ergazing mountains, and thus take A fit and unwalled temple, there to seek The Spirit, in whose honour shrines are weak, Upreared of human hands.",1,mountain,LANDSCAPE,band_1
s00011,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Come, and compare Columns and idol-dwellings, Goth or Greek, With Nature's realms of worship, earth and air, Nor fix on fond abodes to circumscribe thy prayer!",1,air,WEATHER,band_1
