sentence_id,author,work,sentence_text,band,n_candidates,candidate_words,target_span,start_char,end_char,entity_type,is_figurative,lemma
s00180,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"All of soul-inspiriting fled with sleep, and dark melancholy clouded every thought.",band_0,0,,,,,,,
s00055,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"To aid thy mind's development,--to watch",band_0,0,,,,,,,
s00429,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"On perceiving me, the stranger addressed me in English, although with a foreign accent.",band_0,0,,,,,,,
s00385,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),But to return to dearer considerations.,band_0,0,,,,,,,
s00352,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),At that age I became acquainted with the celebrated poets of our own country; but it was only when it had ceased to be in my power to derive its most important benefits from such a conviction that I perceived the necessity of becoming acquainted with more languages than that of my native country.,band_0,0,,,,,,,
s00232,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"If you will comply with my conditions, I will leave them and you at peace; but if you refuse, I will glut the maw of death, until it be satiated with the blood of your remaining friends.”",band_0,0,,,,,,,
s00165,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),"If I had never lived, that which I love Had still been living; had I never loved, That which I love would still be beautiful, Happy and giving happiness.",band_0,0,,,,,,,
s00148,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),"I plunged amidst Mankind--ForgetfulnessI sought in all, save where 'tis to be found-- And that I have to learn--my Sciences, My long pursued and superhuman art, Is mortal here: I dwell in my despair-- And live--and live for ever._Witch_.",band_0,0,,,,,,,
s00693,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"""I fear thee, ancient Mariner!",band_0,0,,,,,,,
s00062,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"The child of love,--though born in bitterness, And nurtured in convulsion.",band_0,0,,,,,,,
s00060,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"Yet, though dull Hate as duty should be taught, I know that thou wilt love me; though my name Should be shut from thee, as a spell still fraught With desolation, and a broken claim: Though the grave closed between us,--'twere the same, I know that thou wilt love me: though to drain MY blood from out thy being were an aim, And an attainment,--all would be in vain,--",band_0,0,,,,,,,
s00154,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),"the Spirits Whose presence I command, and be the slave Of those who served me--Never! _",band_0,0,,,,,,,
s00347,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"You may deem me romantic, my dear sister, but I bitterly feel the want of a friend.",band_0,0,,,,,,,
s00366,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"Some years ago he loved a young Russian lady of moderate fortune, and having amassed a considerable sum in prize-money, the father of the girl consented to the match.",band_0,0,,,,,,,
s00843,William Wordsworth,Lines Written a Few Miles above Tintern Abbey,"Nor less, I trust, To them I may have owed another gift, Of aspect more sublime; that blessed mood, In which the burthen of the mystery, In which the heavy and the weary weight Of all this unintelligible world Is lighten’d:--that serene and blessed mood, In which the affections gently lead us on, Until, the breath of this corporeal frame, And even the motion of our human blood Almost suspended, we are laid asleep In body, and become a living soul: While with an eye made quiet by the power Of harmony, and the deep power of joy, We see into the life of things.",band_0,0,,,,,,,
s00057,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),"To hold thee lightly on a gentle knee, And print on thy soft cheek a parent's kiss,--",band_0,0,,,,,,,
s00320,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I can, even now, remember the hour from which I dedicated myself to this great enterprise.",band_0,0,,,,,,,
s00690,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"With heavy thump, a lifeless lump, They dropped down one by one.",band_0,0,,,,,,,
s00349,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),How would such a friend repair the faults of your poor brother!,band_0,0,,,,,,,
s00755,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,What makes that ship drive on so fast?,band_0,0,,,,,,,
s00432,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I replied, however, that we were on a voyage of discovery towards the northern pole.",band_0,0,,,,,,,
s00025,Lord Byron,Childe Harold's Pilgrimage - Canto III (Lake Leman / Alps),Are ye like those within the human breast?,band_0,0,,,,,,,
s00261,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),Shall I not then hate them who abhor me?,band_0,0,,,,,,,
s00509,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"You may easily imagine that I was much gratified by the offered communication, yet I could not endure that he should renew his grief by a recital of his misfortunes.",band_0,0,,,,,,,
s00252,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),“How can I move thee?,band_0,0,,,,,,,
s00344,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"But I have one want which I have never yet been able to satisfy, and the absence of the object of which I now feel as a most severe evil, I have no friend, Margaret: when I am glowing with the enthusiasm of success, there will be none to participate my joy; if I am assailed by disappointment, no one will endeavour to sustain me in dejection.",band_0,0,,,,,,,
s00504,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I had determined at one time that the memory of these evils should die with me, but you have won me to alter my determination.",band_0,0,,,,,,,
s00153,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),I will not swear--Obey! and whom?,band_0,0,,,,,,,
s00609,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,Eftsoons his hand dropt he.,band_0,0,,,,,,,
s00158,Lord Byron,Manfred - Act II Scene II (Witch of the Alps),I may retire then--say! _,band_0,0,,,,,,,
s00554,Percy Shelley,Ode to the West Wind,"A heavy weight of hours has chained and bowed One too like thee: tameless, and swift, and proud.",band_0,0,,,,,,,
s00513,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"but for one event, and then I shall repose in peace.",band_0,0,,,,,,,
s00410,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),Last Monday (July 31st),band_0,0,,,,,,,
s00080,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),"Oh, that I were The viewless spirit of a lovely sound, A living voice, a breathing harmony, A bodiless enjoyment--born and dying With the blest tone which made me!",band_0,0,,,,,,,
s00777,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,Is this mine own countree!,band_0,0,,,,,,,
s00706,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"The cold sweat melted from their limbs, Nor rot nor reek did they: The look with which they looked on me Had never passed away.",band_1,1,sweat,,,,,,
s00185,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),I remembered the effect that the view of the tremendous and ever-moving glacier had produced upon my mind when I first saw it.,band_1,1,glacier,,,,,,
s00497,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"Such a man has a double existence: he may suffer misery and be overwhelmed by disappointments, yet when he has retired into himself, he will be like a celestial spirit that has a halo around him, within whose circle no grief or folly ventures.",band_1,1,halo,,,,,,
s00101,Lord Byron,Manfred - Act I Scene II (Jungfrau cliff),I am all feebleness--the mountains whirl Spinning around me----I grow blind----What art thou?,band_1,1,mountain,,,,,,
s00717,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,To Mary Queen the praise be given!,band_1,1,queen,,,,,,
s00382,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I have often attributed my attachment to, my passionate enthusiasm for, the dangerous mysteries of ocean to that production of the most imaginative of modern poets.",band_1,1,ocean,,,,,,
s00766,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"All stood together on the deck, For a charnel-dungeon fitter: All fixed on me their stony eyes, That in the Moon did glitter.",band_1,1,moon,,,,,,
s00761,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,"The air is cut away before, And closes from behind.",band_1,1,air,,,,,,
s00482,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),Have you drunk also of the intoxicating draught?,band_1,1,draught,,,,,,
